33 9 15 3 14 33 32 42 23 12 14 17 4 35 0 48 46 36 46 27 2 34 35 17 36 39 7 14 9 0	0 9 14 7 39 36 17 35 34 2 27 46 36 46 48 0 35 4 17 14 12 23 42 32 33 14 3 15 9 33
1 34 32 47 2 41 43 28 22 11 39 17 45 8 9 5 49 38 46 6 0	0 6 46 38 49 5 9 8 45 17 39 11 22 28 43 41 2 47 32 34 1
11 17 0 6 36 9 49 6 35 2 25 6 27 49 10 10 43 37 32 6 9 25 36 21 29	29 21 36 25 9 6 32 37 43 10 10 49 27 6 25 2 35 6 49 9 36 6 0 17 11
7 18 27 30 46 37 15 7 48 18 24 11 30 48 17 28 38	38 28 17 48 30 11 24 18 48 7 15 37 46 30 27 18 7
5 3 47 16 19 31 8 34 0 33 39 43 3 30 2 40 7 49 38 26 37 44 14 8 3 24 4 15 27 44 41 0	0 41 44 27 15 4 24 3 8 14 44 37 26 38 49 7 40 2 30 3 43 39 33 0 34 8 31 19 16 47 3 5
28	28
46 18	18 46
48 9 2 22 45 6 12 37 11 0 38	38 0 11 37 12 6 45 22 2 9 48
26 20 34 10 36 11 32 29 21 49 39 22 0 12 31	31 12 0 22 39 49 21 29 32 11 36 10 34 20 26
42 4 2 20 49 16 10 26 12 8 9 25 4 22 41 31 20 35 17 34 49 30 46 13 3 14	14 3 13 46 30 49 34 17 35 20 31 41 22 4 25 9 8 12 26 10 16 49 20 2 4 42
